bin_left,bin_right,count,confidence,accuracy
0.0,0.06666666666666667,62655,0.015520805553319982,0.008315377862900007
0.06666666666666667,0.13333333333333333,1272,0.09465655732185521,0.03459119496855346
0.13333333333333333,0.2,531,0.16448488010222265,0.04519774011299435
0.2,0.26666666666666666,337,0.2340837080945185,0.03560830860534125
0.26666666666666666,0.3333333333333333,286,0.30018592040852765,0.05944055944055944
0.3333333333333333,0.4,228,0.3636977491377468,0.09210526315789473
0.4,0.4666666666666667,196,0.434410259928206,0.12755102040816327
0.4666666666666667,0.5333333333333333,169,0.49948890313536515,0.10650887573964497
0.5333333333333333,0.6,226,0.5697554484036337,0.168141592920354
0.6,0.6666666666666666,213,0.6333388780852071,0.16901408450704225
0.6666666666666666,0.7333333333333333,199,0.7004520692881457,0.2613065326633166
0.7333333333333333,0.8,271,0.7694889435722027,0.3505535055350554
0.8,0.8666666666666667,456,0.8370349597575949,0.42105263157894735
0.8666666666666667,0.9333333333333333,1238,0.9067490689356354,0.6009693053311793
0.9333333333333333,1.0,6322,0.973172171213068,0.7771274913002214
