bin_left,bin_right,count,confidence,accuracy
0.0,0.06666666666666667,55028,0.028545227606254997,0.00694192047684815
0.06666666666666667,0.13333333333333333,5007,0.09184667502296784,0.013980427401637708
0.13333333333333333,0.2,1734,0.16273948651095732,0.020761245674740483
0.2,0.26666666666666666,937,0.23217065972251869,0.035218783351120594
0.26666666666666666,0.3333333333333333,686,0.29881427125364435,0.023323615160349854
0.3333333333333333,0.4,486,0.36654183084362135,0.02880658436213992
0.4,0.4666666666666667,412,0.4314091034951456,0.05339805825242718
0.4666666666666667,0.5333333333333333,349,0.501436386704871,0.04871060171919771
0.5333333333333333,0.6,340,0.5677917179117646,0.08529411764705883
0.6,0.6666666666666666,341,0.6347443826979472,0.09970674486803519
0.6666666666666666,0.7333333333333333,361,0.7000427302770083,0.1523545706371191
0.7333333333333333,0.8,423,0.7689625892671393,0.2127659574468085
0.8,0.8666666666666667,586,0.8351246643515359,0.3191126279863481
0.8666666666666667,0.9333333333333333,947,0.9044425289334741,0.4783526927138332
0.9333333333333333,1.0,6962,0.9774913121172077,0.7632864119505889
