bin_left,bin_right,count,confidence,accuracy
0.0,0.06666666666666667,62819,0.016029173123440293,0.008325506614240915
0.06666666666666667,0.13333333333333333,1254,0.0937473788023237,0.03987240829346093
0.13333333333333333,0.2,502,0.16256235770996555,0.04183266932270916
0.2,0.26666666666666666,368,0.2318059362236668,0.04619565217391304
0.26666666666666666,0.3333333333333333,282,0.29979563922809294,0.07092198581560284
0.3333333333333333,0.4,195,0.36598241245257723,0.12307692307692308
0.4,0.4666666666666667,185,0.4306356056332008,0.10270270270270271
0.4666666666666667,0.5333333333333333,181,0.5010411555509227,0.16022099447513813
0.5333333333333333,0.6,218,0.5657734678141653,0.14220183486238533
0.6,0.6666666666666666,185,0.6318623350293746,0.22702702702702704
0.6666666666666666,0.7333333333333333,188,0.6998218204149007,0.26063829787234044
0.7333333333333333,0.8,265,0.7689341040509948,0.39245283018867927
0.8,0.8666666666666667,433,0.8370576491620417,0.41570438799076215
0.8666666666666667,0.9333333333333333,1093,0.9065411778039645,0.6001829826166514
0.9333333333333333,1.0,6431,0.9764626676338952,0.7754626030166382
