bin_left,bin_right,count,confidence,accuracy
0.0,0.06666666666666667,62389,0.017031053203542125,0.008302745676321147
0.06666666666666667,0.13333333333333333,1610,0.10096611456947015,0.034782608695652174
0.13333333333333333,0.2,435,0.16740713731594456,0.04597701149425287
0.2,0.26666666666666666,392,0.2461650847713642,0.04081632653061224
0.26666666666666666,0.3333333333333333,349,0.32892526579512293,0.09169054441260745
0.3333333333333333,0.4,336,0.36112753117553964,0.10714285714285714
0.4,0.4666666666666667,3,0.4583199812001961,0.0
0.4666666666666667,0.5333333333333333,618,0.5296945540119962,0.20711974110032363
0.5333333333333333,0.6,54,0.558969957006276,0.2037037037037037
0.6,0.6666666666666666,52,0.6125000000000002,0.17307692307692307
0.6666666666666666,0.7333333333333333,0,,
0.7333333333333333,0.8,445,0.7421381168276496,0.27191011235955054
0.8,0.8666666666666667,372,0.8207575876233899,0.4220430107526882
0.8666666666666667,0.9333333333333333,649,0.8873407884091163,0.5130970724191063
0.9333333333333333,1.0,6895,0.9919310894361182,0.7708484408992023
