bin_left,bin_right,count,confidence,accuracy
0.0,0.06666666666666667,61689,0.02563641474510853,0.008170014103000535
0.06666666666666667,0.13333333333333333,1864,0.09340631821727467,0.01984978540772532
0.13333333333333333,0.2,693,0.16273818712842714,0.05627705627705628
0.2,0.26666666666666666,411,0.23130278545012165,0.0413625304136253
0.26666666666666666,0.3333333333333333,317,0.2986842437223975,0.0473186119873817
0.3333333333333333,0.4,278,0.36474541107913666,0.08273381294964029
0.4,0.4666666666666667,205,0.4335917143414634,0.12195121951219512
0.4666666666666667,0.5333333333333333,186,0.4980925366129032,0.0913978494623656
0.5333333333333333,0.6,223,0.5686757226008969,0.17937219730941703
0.6,0.6666666666666666,236,0.6325786402118643,0.13983050847457626
0.6666666666666666,0.7333333333333333,201,0.7007100173134327,0.2736318407960199
0.7333333333333333,0.8,272,0.7697586765073529,0.35294117647058826
0.8,0.8666666666666667,444,0.8372178491666667,0.4099099099099099
0.8666666666666667,0.9333333333333333,1175,0.9067292849617022,0.5931914893617021
0.9333333333333333,1.0,6405,0.9745816383169399,0.7762685402029664
