bin_left,bin_right,count,confidence,accuracy
0.0,0.06666666666666667,58771,0.010652045415930043,0.007520715999387453
0.06666666666666667,0.13333333333333333,3020,0.09421839481718987,0.02119205298013245
0.13333333333333333,0.2,1284,0.16330915683663214,0.02570093457943925
0.2,0.26666666666666666,769,0.23163786273312023,0.04031209362808843
0.26666666666666666,0.3333333333333333,572,0.298842798402286,0.04020979020979021
0.3333333333333333,0.4,436,0.36408045886425777,0.04128440366972477
0.4,0.4666666666666667,387,0.43370454555648386,0.09043927648578812
0.4666666666666667,0.5333333333333333,355,0.49889730426797985,0.1295774647887324
0.5333333333333333,0.6,309,0.5673843671556762,0.1715210355987055
0.6,0.6666666666666666,304,0.6333613051586486,0.25
0.6666666666666666,0.7333333333333333,357,0.7000638506558116,0.24929971988795518
0.7333333333333333,0.8,402,0.769219716295619,0.36318407960199006
0.8,0.8666666666666667,599,0.8367653889321057,0.5025041736227045
0.8666666666666667,0.9333333333333333,1567,0.9074893427776779,0.6847479259731972
0.9333333333333333,1.0,5467,0.9626726581974925,0.7905615511249314
