model,calibration,aggregation,threshold,segment_ece_before,segment_ece_after,segment_brier_before,segment_brier_after,val_accuracy,val_sensitivity,val_specificity,val_precision,val_f1,val_auroc,val_auprc,val_tp,val_fp,val_tn,val_fn,test_accuracy,test_sensitivity,test_specificity,test_precision,test_f1,test_auroc,test_auprc,test_tp,test_fp,test_tn,test_fn,temperature
gated,platt,mean,0.457,0.07577760152880066,0.04399417325391235,0.05101963800192908,0.04143550272523502,0.9791013584117032,0.901565995525727,0.9933993399339934,0.9618138424821002,0.930715935334873,0.9777670720092144,0.9563339585313207,403,16,2408,44,0.9447274099226561,0.8517441860465116,0.9585952742250162,0.7541827541827542,0.8,0.9290932097862966,0.7914630957965839,586,191,4422,102,
gated,platt,trimmed_mean,0.462,0.07577760152880066,0.04399417325391235,0.05101963800192908,0.04143550272523502,0.9791013584117032,0.901565995525727,0.9933993399339934,0.9618138424821002,0.930715935334873,0.976054149039065,0.955222343202609,403,16,2408,44,0.9449160535747972,0.8531976744186046,0.9585952742250162,0.7544987146529563,0.800818553888131,0.9323464652473546,0.7800902461175461,587,191,4422,101,
gated,platt,sqi_weighted_mean,0.454,0.07577760152880066,0.04399417325391235,0.05101963800192908,0.04143550272523502,0.9791013584117032,0.901565995525727,0.9933993399339934,0.9618138424821002,0.930715935334873,0.9777172348107294,0.9563001264309582,403,16,2408,44,0.9443501226183739,0.8531976744186046,0.9579449382180794,0.7516005121638925,0.7991831177671885,0.9291244032284898,0.7915068503389551,587,194,4419,101,
gated,beta_logistic,sqi_weighted_mean,0.402,0.07577760152880066,0.04268907125272763,0.05101963800192908,0.04045464235944863,0.978753047718565,0.9060402684563759,0.9921617161716172,0.9551886792452831,0.9299655568312285,0.9775889501701847,0.9558548851564829,405,19,2405,42,0.9420863987926806,0.8531976744186046,0.9553435941903317,0.7402269861286255,0.7927076299797434,0.9294445298675633,0.7934210408280105,587,206,4407,101,
gated,none,mean,0.589,0.07577760152880066,0.07577760152880066,0.05101963800192908,0.05101963800192908,0.978753047718565,0.901565995525727,0.9929867986798679,0.9595238095238096,0.9296424452133795,0.9777403075878057,0.9564089408446909,403,17,2407,44,0.9452933408790795,0.8546511627906976,0.9588120528939952,0.7557840616966581,0.8021828103683493,0.9297249557620274,0.7928505383101542,588,190,4423,100,
gated,none,trimmed_mean,0.589,0.07577760152880066,0.07577760152880066,0.05101963800192908,0.05101963800192908,0.978753047718565,0.901565995525727,0.9929867986798679,0.9595238095238096,0.9296424452133795,0.9760476886614835,0.9553706490268737,403,17,2407,44,0.9443501226183739,0.8575581395348837,0.9572946022111424,0.7496823379923762,0.8,0.9325260638539217,0.780652677935552,590,197,4416,98,
gated,none,sqi_weighted_mean,0.589,0.07577760152880066,0.07577760152880066,0.05101963800192908,0.05101963800192908,0.978753047718565,0.901565995525727,0.9929867986798679,0.9595238095238096,0.9296424452133795,0.9776793954563241,0.9563484713984834,403,17,2407,44,0.9449160535747972,0.8546511627906976,0.9583784955560373,0.7538461538461538,0.8010899182561307,0.9297709582121305,0.7929551615402235,588,192,4421,100,
gated,temperature,mean,0.607,0.07577760152880066,0.06417857870528923,0.05101963800192908,0.05145437895257871,0.978753047718565,0.8993288590604027,0.9933993399339934,0.9617224880382775,0.9294797687861271,0.9777929135195399,0.9561758994682958,402,16,2408,45,0.9456706281833617,0.8546511627906976,0.9592456102319532,0.7577319587628866,0.8032786885245902,0.9292142025317732,0.7944915628901892,588,188,4425,100,0.8402123065283448
gated,temperature,trimmed_mean,0.625,0.07577760152880066,0.06417857870528923,0.05101963800192908,0.05145437895257871,0.978753047718565,0.8993288590604027,0.9933993399339934,0.9617224880382775,0.9294797687861271,0.9761021404153838,0.9552732293362162,402,16,2408,45,0.946236559139785,0.8546511627906976,0.9598959462388901,0.7606727037516171,0.8049281314168378,0.9324479227058011,0.7812353701770054,588,185,4428,100,0.8402123065283448
gated,temperature,sqi_weighted_mean,0.606,0.07577760152880066,0.06417857870528923,0.05101963800192908,0.05145437895257871,0.978753047718565,0.8993288590604027,0.9933993399339934,0.9617224880382775,0.9294797687861271,0.9777273868326429,0.9560972655668863,402,16,2408,45,0.9456706281833617,0.8546511627906976,0.9592456102319532,0.7577319587628866,0.8032786885245902,0.9292485468267131,0.794448110166466,588,188,4425,100,0.8402123065283448
gated,isotonic,mean,0.382,0.07577760152880066,0.042536016025576565,0.05101963800192908,0.040061619663625286,0.9784047370254266,0.9060402684563759,0.9917491749174917,0.9529411764705882,0.9288990825688074,0.9779765728250677,0.9560209825623798,405,20,2404,42,0.9413318241841162,0.8502906976744186,0.9549100368523737,0.7377049180327869,0.7900067521944631,0.9301403956966914,0.7965738923288759,585,208,4405,103,
gated,isotonic,sqi_weighted_mean,0.384,0.07577760152880066,0.042536016025576565,0.05101963800192908,0.040061619663625286,0.9784047370254266,0.9060402684563759,0.9917491749174917,0.9529411764705882,0.9288990825688074,0.9778496725511477,0.955943772830946,405,20,2404,42,0.9415204678362573,0.8502906976744186,0.9551268155213527,0.7386363636363636,0.7905405405405406,0.930183404836685,0.7950834986439609,585,207,4406,103,
gated,beta_logistic,mean,0.406,0.07577760152880066,0.04268907125272763,0.05101963800192908,0.04045464235944863,0.9784047370254266,0.9038031319910514,0.9921617161716172,0.9550827423167849,0.9287356321839081,0.9776480164795003,0.9559001856632444,404,19,2405,43,0.9424636860969628,0.8531976744186046,0.9557771515282896,0.7420986093552465,0.7937795807978364,0.9294347622240482,0.7937193316340787,587,204,4409,101,
gated,beta_logistic,trimmed_mean,0.394,0.07577760152880066,0.04268907125272763,0.05101963800192908,0.04045464235944863,0.9784047370254266,0.9038031319910514,0.9921617161716172,0.9550827423167849,0.9287356321839081,0.9759378622426002,0.9549555871600502,404,19,2405,43,0.9435955480098095,0.8561046511627907,0.9566442662042055,0.7465145754119138,0.7975626269465133,0.9324955005822776,0.78086380580392,589,200,4413,99,
gated,isotonic,trimmed_mean,0.34,0.07577760152880066,0.042536016025576565,0.05101963800192908,0.040061619663625286,0.9780564263322884,0.9060402684563759,0.9913366336633663,0.9507042253521126,0.9278350515463918,0.976088296749138,0.9550552705301225,405,21,2403,42,0.940954536879834,0.8561046511627907,0.9536093648384999,0.7334993773349938,0.790073775989269,0.9323459926194425,0.7902380881601205,589,214,4399,99,
