bin_left,bin_right,count,confidence,accuracy
0.0,0.06666666666666667,10668,0.04939080403421447,0.004030746156730409
0.06666666666666667,0.13333333333333333,27461,0.09740707305374896,0.007428717089690834
0.13333333333333333,0.2,11688,0.16100516557494868,0.007272416153319644
0.2,0.26666666666666666,5348,0.2300483056656694,0.010097232610321616
0.26666666666666666,0.3333333333333333,3144,0.2973555758810433,0.01494910941475827
0.3333333333333333,0.4,2171,0.36510779020267153,0.018885306310456013
0.4,0.4666666666666667,1558,0.43221036925545575,0.02374839537869063
0.4666666666666667,0.5333333333333333,1130,0.49867038099115046,0.02920353982300885
0.5333333333333333,0.6,912,0.5659642777631578,0.03508771929824561
0.6,0.6666666666666666,778,0.631703126529563,0.04498714652956298
0.6666666666666666,0.7333333333333333,739,0.6998571406765901,0.11096075778078485
0.7333333333333333,0.8,683,0.7669075163689606,0.20351390922401172
0.8,0.8666666666666667,905,0.834608892839779,0.3712707182320442
0.8666666666666667,0.9333333333333333,2849,0.9104119843559145,0.6686556686556686
0.9333333333333333,1.0,4565,0.9501798823570644,0.8059145673603505
