bin_left,bin_right,count,confidence,accuracy
0.0,0.06666666666666667,52045,0.014637791291104024,0.006724949562878279
0.06666666666666667,0.13333333333333333,4542,0.09456756113061962,0.011889035667107
0.13333333333333333,0.2,2045,0.1641264224987787,0.016625916870415647
0.2,0.26666666666666666,1347,0.23186391689566135,0.023756495916852263
0.26666666666666666,0.3333333333333333,971,0.29784275701715496,0.015447991761071062
0.3333333333333333,0.4,791,0.3661558806367509,0.02654867256637168
0.4,0.4666666666666667,629,0.4324065882136602,0.019077901430842606
0.4666666666666667,0.5333333333333333,514,0.49969798930546355,0.027237354085603113
0.5333333333333333,0.6,490,0.5656693150661646,0.03877551020408163
0.6,0.6666666666666666,463,0.6329850090978584,0.04103671706263499
0.6666666666666666,0.7333333333333333,462,0.7006997207355782,0.0367965367965368
0.7333333333333333,0.8,470,0.7659567982605023,0.04468085106382979
0.8,0.8666666666666667,541,0.8350273584291963,0.07948243992606285
0.8666666666666667,0.9333333333333333,729,0.9015625169581647,0.1755829903978052
0.9333333333333333,1.0,8560,0.9912546989689972,0.6977803738317757
