bin_left,bin_right,count,confidence,accuracy
0.0,0.06666666666666667,59264,0.012540423724394274,0.007694384449244061
0.06666666666666667,0.13333333333333333,3175,0.08615091659641186,0.01889763779527559
0.13333333333333333,0.2,1572,0.14029496778561668,0.03244274809160305
0.2,0.26666666666666666,945,0.23835080391513241,0.047619047619047616
0.26666666666666666,0.3333333333333333,576,0.2792745406954288,0.09375
0.3333333333333333,0.4,275,0.3604563016520525,0.14181818181818182
0.4,0.4666666666666667,376,0.4263565891472868,0.18085106382978725
0.4666666666666667,0.5333333333333333,2,0.5222811887655094,0.0
0.5333333333333333,0.6,3,0.568590790333115,0.6666666666666666
0.6,0.6666666666666666,134,0.6287348591811377,0.26119402985074625
0.6666666666666666,0.7333333333333333,151,0.6869253578320114,0.33112582781456956
0.7333333333333333,0.8,421,0.7700058209913306,0.4085510688836104
0.8,0.8666666666666667,260,0.8433489428705789,0.45384615384615384
0.8666666666666667,0.9333333333333333,961,0.905684973623466,0.6004162330905307
0.9333333333333333,1.0,6484,0.9790704417290699,0.7749845774213449
