bin_left,bin_right,count,confidence,accuracy
0.0,0.06666666666666667,60574,0.01585133957199692,0.007594017235117377
0.06666666666666667,0.13333333333333333,3689,0.10319582245966903,0.030631607481702357
0.13333333333333333,0.2,287,0.15833238489773735,0.03484320557491289
0.2,0.26666666666666666,265,0.23232664671695574,0.052830188679245285
0.26666666666666666,0.3333333333333333,243,0.31281807950388185,0.11934156378600823
0.3333333333333333,0.4,234,0.3468685112381426,0.10683760683760683
0.4,0.4666666666666667,510,0.4018264840182649,0.1588235294117647
0.4666666666666667,0.5333333333333333,0,,
0.5333333333333333,0.6,609,0.5731915168630249,0.2512315270935961
0.6,0.6666666666666666,39,0.6521739130434779,0.5128205128205128
0.6666666666666666,0.7333333333333333,332,0.7175546748197231,0.35542168674698793
0.7333333333333333,0.8,119,0.7681307082057535,0.3949579831932773
0.8,0.8666666666666667,515,0.8369050404489795,0.4815533980582524
0.8666666666666667,0.9333333333333333,803,0.9020261165314118,0.6127023661270237
0.9333333333333333,1.0,6380,0.9805136597898337,0.7746081504702195
