bin_left,bin_right,count,confidence,accuracy
0.0,0.06666666666666667,60546,0.013864020928129083,0.007581012783668616
0.06666666666666667,0.13333333333333333,2159,0.09374691634798246,0.02871699861046781
0.13333333333333333,0.2,935,0.1629578849047313,0.026737967914438502
0.2,0.26666666666666666,585,0.23165473606125392,0.042735042735042736
0.26666666666666666,0.3333333333333333,394,0.3007453137529933,0.04314720812182741
0.3333333333333333,0.4,349,0.36732489669694024,0.08882521489971347
0.4,0.4666666666666667,306,0.4343863410657257,0.09477124183006536
0.4666666666666667,0.5333333333333333,290,0.4980355555617991,0.13448275862068965
0.5333333333333333,0.6,306,0.567801942937332,0.17647058823529413
0.6,0.6666666666666666,312,0.6377746920729214,0.22756410256410256
0.6666666666666666,0.7333333333333333,366,0.7013409670210696,0.3360655737704918
0.7333333333333333,0.8,414,0.7676837192221793,0.38405797101449274
0.8,0.8666666666666667,593,0.8347135330349655,0.5042158516020236
0.8666666666666667,0.9333333333333333,1366,0.9066444122731543,0.6742313323572474
0.9333333333333333,1.0,5678,0.9685590288171848,0.7816132441000352
