bin_left,bin_right,count,confidence,accuracy
0.0,0.06666666666666667,58317,0.017162791058259165,0.007253459540099799
0.06666666666666667,0.13333333333333333,2857,0.09348179800700093,0.0168008400420021
0.13333333333333333,0.2,1148,0.1623193470913601,0.03048780487804878
0.2,0.26666666666666666,746,0.23176718837416282,0.032171581769437
0.26666666666666666,0.3333333333333333,516,0.2979434069363303,0.023255813953488372
0.3333333333333333,0.4,397,0.366454925393663,0.0327455919395466
0.4,0.4666666666666667,330,0.43037500860242395,0.05757575757575758
0.4666666666666667,0.5333333333333333,303,0.5014437702090407,0.0462046204620462
0.5333333333333333,0.6,289,0.5691520747007055,0.08304498269896193
0.6,0.6666666666666666,279,0.6337278941421512,0.0967741935483871
0.6666666666666666,0.7333333333333333,324,0.6999918202846059,0.11419753086419752
0.7333333333333333,0.8,357,0.7696381951900024,0.1792717086834734
0.8,0.8666666666666667,468,0.8375073240117467,0.25213675213675213
0.8666666666666667,0.9333333333333333,785,0.904436305722981,0.3910828025477707
0.9333333333333333,1.0,7483,0.9854984782955429,0.746625684885741
