bin_left,bin_right,count,confidence,accuracy
0.0,0.06666666666666667,61436,0.015619686036743038,0.007764177355296569
0.06666666666666667,0.13333333333333333,1989,0.09397948149412144,0.030668677727501256
0.13333333333333333,0.2,789,0.16438919326277096,0.03929024081115336
0.2,0.26666666666666666,439,0.23266265896724864,0.05239179954441914
0.26666666666666666,0.3333333333333333,360,0.2988038482291652,0.09166666666666666
0.3333333333333333,0.4,292,0.3665956807570784,0.08904109589041095
0.4,0.4666666666666667,260,0.43005674874886624,0.13846153846153847
0.4666666666666667,0.5333333333333333,252,0.49985746213263516,0.19047619047619047
0.5333333333333333,0.6,228,0.5664566143766225,0.19736842105263158
0.6,0.6666666666666666,294,0.6318032325065781,0.2755102040816326
0.6666666666666666,0.7333333333333333,311,0.7019784715340296,0.34726688102893893
0.7333333333333333,0.8,318,0.7692111172658792,0.4056603773584906
0.8,0.8666666666666667,466,0.8336096428475551,0.4892703862660944
0.8666666666666667,0.9333333333333333,916,0.905614175663319,0.62882096069869
0.9333333333333333,1.0,6249,0.9777497662735533,0.776124179868779
