ablation,sqi_filtering,sqi_features,quality_weighted_aggregation,feature_count,aggregation,threshold,record_test_accuracy,record_test_sensitivity,record_test_specificity,record_test_precision,record_test_f1,record_test_auroc,record_test_auprc,segment_test_accuracy,segment_test_sensitivity,segment_test_specificity,segment_test_precision,segment_test_f1,segment_test_auroc,segment_test_auprc
no_sqi_filter_rhythm_features_mean,False,False,False,12,mean,0.845,0.9506962739932254,0.8265895953757225,0.9692773691042839,0.8011204481792717,0.813655761024182,0.9520995340205051,0.8126039523820467,0.9530226119058607,0.8654688869412795,0.9617095899940579,0.691607330454068,0.7688315058716668,0.9409670364167615,0.7067915906610922
no_sqi_filter_all_features_mean,False,True,False,17,mean,0.783,0.9412871659766654,0.8323699421965318,0.9575941151016876,0.7461139896373057,0.7868852459016394,0.9514648464368701,0.8108803774920862,0.9455863933021293,0.8810984516505989,0.9519848113740779,0.6454788657035848,0.7451053054165895,0.9444578358638374,0.760213878588509
sqi_filter_rhythm_features_mean,True,False,False,12,mean,0.853,0.951707225051877,0.8343023255813954,0.9692174290049859,0.8016759776536313,0.8176638176638177,0.954152571852046,0.8132364767595741,0.9543961715304494,0.8751481042654028,0.9622827833212965,0.6978034955125177,0.7764783180026281,0.9500137004140274,0.7104274623072928
sqi_filter_all_features_mean,True,True,False,17,mean,0.759,0.9369930201848707,0.8430232558139535,0.9510080208107522,0.7196029776674938,0.7764390896921017,0.9543050731249906,0.8142305880173374,0.9429751069049183,0.8970675355450237,0.9475437381166448,0.62988768718802,0.7401026392961878,0.9541939376840154,0.7683142289872696
sqi_filter_all_features_quality_weighted,True,True,True,17,quality_weighted,0.763,0.937370307489153,0.8430232558139535,0.9514415781487102,0.7213930348258707,0.7774798927613941,0.9542382750467586,0.8142174542278875,0.9434442820949343,0.8966232227488151,0.9481038218344215,0.6322715404699739,0.7415936791817236,0.9541939376840154,0.7683142289872696
sqi_filter_quality_features_quality_weighted,True,True,True,5,quality_weighted,0.668,0.889266176193171,0.6031976744186046,0.9319314979406026,0.5692729766803841,0.5857445306986592,0.8462330295071058,0.6133656729777891,0.9045027413236102,0.6771327014218009,0.9271301605082023,0.48045397225725095,0.562085074993853,0.8920998617288955,0.57788052089834
