model_variant,status,metrics_path,epochs_ran,best_epoch,best_val_threshold,runtime_seconds,record_test_accuracy,segment_test_accuracy,record_test_sensitivity,segment_test_sensitivity,record_test_specificity,segment_test_specificity,record_test_precision,segment_test_precision,record_test_f1,segment_test_f1,record_test_auroc,segment_test_auroc,record_test_auprc,segment_test_auprc
full_fusion,complete,/vol/bitbucket/mc1920/mimic_ext_p00_p01_p02_branch_ablation_20260506_155101/full_fusion/metrics.json,20,10,0.596,20841.272902965546,0.9451046972269384,0.9447579726269789,0.8546511627906976,0.9084715639810427,0.9585952742250162,0.9483691246481053,0.754813863928113,0.6365051364532531,0.8016359918200409,0.7485508572823235,0.9297681224446583,0.9488965344872353,0.7929660419653494,0.7061130901691757
waveform_only,complete,/vol/bitbucket/mc1920/mimic_ext_p00_p01_p02_branch_ablation_20260506_155101/waveform_only/metrics.json,28,18,0.493,25897.356729507446,0.9471797774004904,0.951245995254628,0.8517441860465116,0.9012144549763034,0.9614133969217429,0.9562250357421846,0.7670157068062827,0.6720044174489233,0.8071625344352618,0.7699120642753211,0.9326665918864283,0.953414779844768,0.8216969578136109,0.7339553682830691
spectral_only,complete,/vol/bitbucket/mc1920/mimic_ext_p00_p01_p02_branch_ablation_20260506_155101/spectral_only/metrics.json,30,22,0.531,9589.838122606277,0.9345406527070365,0.9426801967854797,0.8488372093023255,0.9034360189573459,0.9473227834381097,0.9465857001783424,0.7061668681983071,0.6273138626079803,0.7709570957095709,0.7404709881039088,0.9475461788978568,0.9509266949832131,0.8128206951411729,0.7457173302786728
feature_only,complete,/vol/bitbucket/mc1920/mimic_ext_p00_p01_p02_branch_ablation_20260506_155101/feature_only/metrics.json,30,20,0.6055850701332096,7608.154606819153,0.9305791360120732,0.9280285258515529,0.873546511627907,0.9129146919431279,0.9390851940169087,0.9295326248765605,0.68140589569161,0.5631795340338054,0.7656050955414013,0.6966152455218398,0.9446984381853105,0.9501467218250402,0.813546380373209,0.7189961948131265
