split,raw_segments_before_sqi,accepted_segments,rejected_segments,raw_af_segments,accepted_af_segments,raw_sr_segments,accepted_sr_segments,acceptance_rate,af_acceptance_rate,sr_acceptance_rate,mean_quality_all,mean_quality_accepted
train,636702,622065,14637,88459,84589,548243,537476,0.977011223460897,0.956250918504618,0.9803608983607633,0.9327297673092872,0.9340170823151379
validation,96171,93200,2971,10507,10455,85664,82745,0.9691071112913456,0.9950509184353288,0.9659250093388121,0.9305143016782018,0.9324479850756758
test,75845,74599,1246,6846,6752,68999,67847,0.9835717581910476,0.9862693543675138,0.9833041058566067,0.9320825096709006,0.9329382476499068
