prefix,records,af_records,mean_segment_count,mean_quality,median_af_probability,accuracy,sensitivity,specificity,precision,f1,auroc,auprc,tn,fp,fn,tp
p00,1761,180,15.259511641113004,0.9299912170751876,0.9416476786136627,0.9301533219761499,0.8277777777777777,0.941808981657179,0.6182572614107884,0.7078384798099762,0.8982149132054256,0.74134324948755,1489,92,31,149
p01,1555,38,13.219292604501607,0.9243580569791641,0.7649526596069336,0.9794212218649517,0.6052631578947368,0.988793671720501,0.575,0.5897435897435896,0.9718974430142594,0.5783271846064919,1500,17,15,23
p02,1985,470,13.68816120906801,0.932292213518013,0.9392645359039308,0.9541561712846348,0.8404255319148937,0.9894389438943895,0.9610705596107056,0.8967082860385925,0.9349891159328699,0.9133927720411608,1499,16,75,395
