method,group_column,val_selected_threshold,val_f1,val_precision,val_sensitivity,val_specificity,test_f1_at_val_threshold,test_precision_at_val_threshold,test_sensitivity_at_val_threshold,test_specificity_at_val_threshold,test_accuracy_at_val_threshold,test_fp_at_val_threshold,test_fn_at_val_threshold,test_best_f1_analysis_only,test_best_threshold_analysis_only
mean,record_id,0.781,0.9212827988338192,0.9634146341463414,0.88268156424581,0.9938436281551406,0.8185654008438819,0.7972602739726027,0.8410404624277457,0.9679792297706621,0.9514490026345502,148,110,0.8348214285714285,0.856
median,record_id,0.783,0.918355529820498,0.953125,0.8860335195530726,0.9919967166016828,0.8030303030303031,0.7671052631578947,0.8424855491329479,0.9617048896581566,0.9461799021452766,177,109,0.8257411424439625,0.8506042689085009
top5_mean,record_id,0.8534441925287247,0.911318553092182,0.9536019536019537,0.8726256983240224,0.9922019289965114,0.7932960893854748,0.7675675675675676,0.8208092485549133,0.9627866724361748,0.9442980805419646,172,124,0.7961876832844574,0.879
positive_fraction_base_threshold,record_id,0.455,0.9190120620333142,0.9456264775413712,0.8938547486033519,0.9905602298378822,0.7913279132791329,0.7448979591836735,0.8439306358381503,0.9567286888792731,0.9420398946179902,200,108,0.8306569343065693,0.834
top3_mean,record_id,0.859,0.9042675893886966,0.9344457687723481,0.8759776536312849,0.9887133182844243,0.7862542955326459,0.7496723460026212,0.8265895953757225,0.9586758978797058,0.9414753481369966,191,120,0.7862542955326459,0.859
max,record_id,0.888,0.8995983935742973,0.9245283018867925,0.8759776536312849,0.9868664067309666,0.7613793103448276,0.7282321899736148,0.7976878612716763,0.9554305495456512,0.9348889725254046,206,140,0.7683284457478007,0.911
